STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SVN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2020-Q1,,9.977203,,,,U,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SVN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2019-Q4,,7.606904,,,,U,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2023-Q2,,8.118476,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2023-Q1,,7.978497,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q4,,7.590415,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,OECD,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q4,,12.19235,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,OECD,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q3,,12.29809,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q3,,10.04039,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,9.59973,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,9.013769,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2024-Q4,,8.965275,,,,A,,0,,1,
