year,quarter,Norte,Centro norte,Centro,Sur,PIB
2017,I,98.01,98.4,100.15,102.65,100.14
2017,II,98.57,97.87,100.42,101.11,100.25
2017,III,98.33,99.38,100.17,98.66,99.66
2017,IV,99.28,100.5,102.04,99.1,101.05
2018,I,100.01,102.51,102.49,100.82,102.31
2018,II,100.64,101.68,102.41,101.15,102
2018,III,101.72,101.67,103.01,100.67,102.41
2018,IV,102.33,101.94,102.47,98.61,102.22
2019,I,102.22,101.64,102.47,98.83,102.23
2019,II,102.48,101.45,101.61,98.52,101.94
2019,III,102.57,101.63,102,98.92,101.97
2019,IV,100.53,101.06,101.07,99.83,101.21
2020,I,100,100,100,100,100
2020,II,80.86,83,79.63,83.05,81.08
2020,III,95.26,95.31,92.92,90.77,93.69
2020,IV,98.94,98.18,97.48,94.79,97.72
2021,I,99.09,98.39,98.45,95.88,98.45
2021,II,99.94,98.75,98.43,97.73,99.33
2021,III,99.1,98.43,96.65,99.2,98.48
2021,IV,99.63,99.25,97.48,101.49,99.63
2022,I,101.42,99.55,99.49,101.44,101.06
2022,II,102.76,101.31,100.62,102.61,102.21
2022,III,103.07,102.22,101.45,103.82,103
2022,IV,104.04,103.68,102.76,105.12,104.29
2023,I,104.84,104.45,102.79,105.62,104.86
2023,II,104.66,104.6,104.41,108.27,105.61
2023,III,105.78,105.65,104.76,109.26,106.26
2023,IV,106.07,105.89,104.86,110.4,106.61
2024,I,105.85,105.47,105.97,108.78,106.8
2024,II,107.04,106.26,105.87,108.63,106.65
2024,III,108.35,106.34,107.41,107.67,107.62
2024,IV,107.46,105.02,107.19,106.46,107
2025,I,106.76,107.16,107.27,105.06,107.25
2025,II,108.24,107.35,108.87,104.45,107.72
2025,III,107.09,108.27,107.98,104.31,107.41
