Country,Year,Index_value
Belize,1990,0.495
Dominican Republic,1990,0.485
Gabon,1990,0.473
Kuwait,1990,0.476
Malaysia,1990,0.488
Mauritius,1990,0.481
Mexico,1990,0.48
Namibia,1990,0.495
Saudi Arabia,1990,0.489
Singapore,1990,0.488
United Arab Emirates,1990,0.474
Belize,1991,0.498
Dominican Republic,1991,0.493
Gabon,1991,0.48
Kuwait,1991,0.429
Malaysia,1991,0.499
Mauritius,1991,0.489
Mexico,1991,0.481
Namibia,1991,0.496
Saudi Arabia,1991,0.495
Singapore,1991,0.503
United Arab Emirates,1991,0.493
Belize,1992,0.505
Dominican Republic,1992,0.501
Gabon,1992,0.487
Kuwait,1992,0.382
Malaysia,1992,0.511
Mauritius,1992,0.497
Mexico,1992,0.487
Namibia,1992,0.508
Saudi Arabia,1992,0.502
Singapore,1992,0.519
United Arab Emirates,1992,0.499
Belize,1993,0.512
Dominican Republic,1993,0.509
Gabon,1993,0.494
Kuwait,1993,0.417
Malaysia,1993,0.518
Mauritius,1993,0.504
Mexico,1993,0.491
Namibia,1993,0.52
Saudi Arabia,1993,0.508
Singapore,1993,0.535
United Arab Emirates,1993,0.509
Belize,1994,0.519
Dominican Republic,1994,0.517
Gabon,1994,0.501
Kuwait,1994,0.464
Malaysia,1994,0.527
Mauritius,1994,0.512
Mexico,1994,0.5
Namibia,1994,0.532
Saudi Arabia,1994,0.515
Singapore,1994,0.551
United Arab Emirates,1994,0.528
Belize,1995,0.526
Dominican Republic,1995,0.525
Gabon,1995,0.509
Kuwait,1995,0.515
Malaysia,1995,0.536
Mauritius,1995,0.52
Mexico,1995,0.512
Namibia,1995,0.528
Saudi Arabia,1995,0.522
Singapore,1995,0.566
United Arab Emirates,1995,0.544
Belize,1996,0.533
Dominican Republic,1996,0.531
Gabon,1996,0.516
Kuwait,1996,0.566
Malaysia,1996,0.555
Mauritius,1996,0.524
Mexico,1996,0.516
Namibia,1996,0.523
Saudi Arabia,1996,0.529
Singapore,1996,0.583
United Arab Emirates,1996,0.545
Belize,1997,0.54
Dominican Republic,1997,0.537
Gabon,1997,0.523
Kuwait,1997,0.572
Malaysia,1997,0.574
Mauritius,1997,0.527
Mexico,1997,0.521
Namibia,1997,0.517
Saudi Arabia,1997,0.535
Singapore,1997,0.6
United Arab Emirates,1997,0.545
Belize,1998,0.548
Dominican Republic,1998,0.542
Gabon,1998,0.531
Kuwait,1998,0.583
Malaysia,1998,0.594
Mauritius,1998,0.535
Mexico,1998,0.526
