Council area,lat,lon,deaths
Aberdeen City,57.1497,-2.0943,44
Aberdeenshire,57.2868,-2.3815,29
Angus,56.6968,-2.8931,14
Argyll and Bute,56.2415,-5.3115,13
City of Edinburgh,55.9533,-3.1883,92
Clackmannanshire,56.1265,-3.753,12
Dumfries and Galloway,55.0709,-3.6051,24
Dundee City,56.462,-2.9707,42
East Ayrshire,55.452,-4.267,21
East Dunbartonshire,55.934,-4.177,15
East Lothian,55.942,-2.766,21
East Renfrewshire,55.772,-4.331,5
Falkirk,56.001,-3.784,21
Fife,56.252,-3.17,69
Glasgow City,55.8642,-4.2518,185
Highland,57.4778,-4.2247,21
Inverclyde,55.938,-4.782,25
Midlothian,55.845,-3.075,17
Moray,57.53,-3.23,10
Na h-Eileanan Siar,58.209,-6.387,2
North Ayrshire,55.694,-4.685,23
North Lanarkshire,55.861,-3.951,85
Orkney Islands,58.9809,-3.0603,0
Perth and Kinross,56.395,-3.431,25
Renfrewshire,55.846,-4.423,46
Scottish Borders,55.548,-2.783,7
Shetland Islands,60.3,-1.3,4
South Ayrshire,55.414,-4.632,20
South Lanarkshire,55.572,-3.784,64
Stirling,56.116,-3.936,16
West Dunbartonshire,55.986,-4.482,23
West Lothian,55.889,-3.582,22
