Category,Male,Female
Spain,26.075,27.025
Sweden,24.65,23.26667
Luxembourg,23.15,19.19167
Portugal,21.18333,22.44167
Greece,20.91667,23.88333
Belgium,19.6,14.575
Costa Rica,19.59955,23.92883
Finland,19.54167,17.69167
Slovak Rep.,19.35833,18.85
Italy,19.15,22.25
Estonia,18.98333,19.65833
France,18.91667,18.25833
Chile,18.61617,23.28421
Colombia,16.59583,25.19333
UK,16.2,11.7
Hungary,15.725,14.98333
Lithuania,15.425,16.325
New Zealand,14.50111,13.72743
Canada,14.25,11.675
Türkiye,13.1,22.3
Latvia,13.05,14.18333
Norway,12.61667,11.43333
OECD,11.17565,
Ireland,10.83333,10.21667
Slovenia,10.8,10.95
Poland,10.75,10.9
Australia,10.60932,8.114771
Austria,10.40833,10.00833
US,9.716666,8.1
Czechia,8.816667,10.425
Netherlands,8.808333,8.541667
Iceland,8.291667,8.791667
Switzerland,8,8.45
Germany,7.1,5.908333
Korea,6.056305,6.586564
Mexico,5.493583,6.383112
Israel,4.683333,4.616667
Japan,4.141667,3.658333
