Country,Adults with financial knowledge,Risk Diversification                     ,Inflation ,Interest,Interest Compounding
Afghanistan,14%,19%,35%,40%,26%
Albania,14%,11%,50%,33%,30%
Algeria,33%,34%,73%,57%,35%
Angola,15%,38%,17%,26%,54%
Argentina,28%,33%,65%,45%,31%
Armenia,18%,18%,53%,46%,23%
Australia,64%,69%,63%,61%,68%
Austria,53%,59%,64%,61%,52%
Azerbaijan,36%,28%,59%,54%,41%
Bahrain,40%,44%,47%,55%,52%
Bangladesh,19%,20%,47%,40%,39%
Belarus,38%,38%,53%,50%,41%
Belgium,55%,65%,62%,58%,53%
Belize,33%,38%,61%,41%,34%
Benin,37%,54%,38%,47%,54%
Bhutan,54%,28%,78%,67%,57%
Bolivia,24%,30%,47%,45%,36%
Bosnia and Herzegovina,27%,23%,68%,52%,22%
Botswana,52%,62%,53%,51%,66%
Brazil,35%,33%,53%,56%,46%
Bulgaria,35%,20%,58%,60%,40%
Burkina Faso,33%,50%,52%,30%,47%
Burundi,24%,41%,38%,41%,54%
Cambodia,18%,21%,33%,44%,44%
Cameroon,38%,51%,55%,45%,50%
Canada,68%,72%,66%,66%,68%
Chad,26%,59%,29%,28%,66%
Chile,41%,40%,62%,60%,39%
China,28%,37%,36%,45%,45%
Colombia,32%,41%,52%,52%,35%
"Congo, Dem. Rep.",32%,46%,39%,56%,41%
"Congo, Rep.",31%,46%,43%,50%,36%
Costa Rica,35%,34%,52%,53%,46%
Côte d'Ivoire,35%,58%,52%,34%,54%
Croatia,44%,33%,72%,59%,47%
Cyprus,35%,33%,54%,50%,43%
Czech Republic,58%,56%,64%,71%,54%
Denmark,71%,78%,70%,64%,68%
Dominican Republic,35%,45%,40%,50%,52%
Ecuador,30%,41%,53%,43%,43%
"Egypt, Arab Rep.",27%,23%,63%,40%,36%
El Salvador,21%,30%,43%,42%,32%
Estonia,54%,59%,64%,72%,45%
Ethiopia,32%,53%,36%,40%,48%
Finland,63%,76%,57%,61%,60%
France,52%,50%,67%,60%,54%
Gabon,35%,47%,46%,41%,61%
Georgia,30%,22%,66%,54%,32%
Germany,66%,74%,62%,66%,64%
Ghana,32%,53%,46%,40%,40%
Greece,45%,36%,69%,62%,46%
Guatemala,26%,31%,37%,51%,44%
Guinea,30%,50%,43%,35%,54%
Haiti,18%,48%,26%,34%,28%
Honduras,23%,33%,37%,54%,37%
"Hong Kong SAR, China",43%,58%,35%,51%,58%
Hungary,54%,50%,69%,68%,53%
India,24%,14%,56%,48%,44%
Indonesia,32%,23%,55%,53%,44%
"Iran, Islamic Rep.",20%,27%,44%,39%,37%
Iraq,27%,40%,39%,50%,39%
Ireland,55%,58%,62%,63%,55%
Israel,68%,51%,74%,72%,74%
Italy,37%,40%,55%,55%,38%
Jamaica,33%,60%,33%,41%,41%
Japan,43%,61%,53%,63%,31%
Jordan,24%,33%,64%,32%,26%
Kazakhstan,40%,34%,66%,52%,41%
Kenya,38%,54%,42%,49%,54%
"Korea, Rep.",33%,42%,46%,47%,40%
Kosovo,20%,16%,52%,44%,34%
Kuwait,44%,59%,55%,52%,44%
Kyrgyz Republic,19%,19%,55%,40%,32%
Latvia,48%,56%,63%,56%,44%
Lebanon,44%,30%,68%,57%,53%
Lithuania,39%,39%,66%,59%,30%
Luxembourg,53%,53%,67%,57%,51%
"Macedonia, FYR",21%,19%,56%,46%,35%
Madagascar,38%,47%,44%,46%,60%
Malawi,35%,47%,26%,59%,65%
Malaysia,36%,49%,42%,39%,56%
Mali,33%,57%,57%,23%,61%
Malta,44%,56%,63%,47%,44%
Mauritania,33%,48%,58%,37%,45%
Mauritius,39%,26%,70%,52%,59%
Mexico,32%,32%,56%,48%,37%
Moldova,27%,23%,58%,57%,30%
Mongolia,41%,31%,61%,57%,50%
Montenegro,48%,34%,61%,71%,49%
Myanmar,52%,31%,65%,62%,70%
Namibia,27%,39%,29%,38%,49%
Nepal,18%,16%,33%,45%,41%
Netherlands,66%,73%,67%,59%,69%
New Zealand,61%,68%,64%,61%,68%
Nicaragua,20%,25%,34%,41%,45%
Niger,31%,56%,48%,44%,33%
Nigeria,26%,44%,41%,35%,45%
Norway,71%,69%,67%,70%,72%
Pakistan,26%,15%,49%,49%,39%
Panama,27%,33%,41%,43%,43%
Peru,28%,32%,53%,41%,37%
Philippines,25%,26%,53%,42%,43%
Poland,42%,39%,63%,60%,45%
Portugal,26%,23%,53%,44%,35%
Puerto Rico,32%,34%,52%,48%,41%
Romania,22%,22%,49%,37%,25%
Russian Federation,38%,30%,62%,61%,40%
Rwanda,26%,30%,50%,37%,59%
Saudi Arabia,31%,52%,47%,42%,32%
Senegal,40%,64%,59%,27%,73%
Serbia,38%,25%,61%,57%,44%
Sierra Leone,21%,47%,21%,36%,46%
Singapore,59%,55%,61%,66%,65%
Slovak Republic,48%,42%,62%,66%,49%
Slovenia,44%,63%,52%,51%,44%
Somalia,15%,41%,23%,27%,26%
South Africa,42%,55%,48%,48%,59%
Spain,49%,56%,65%,59%,43%
Sri Lanka,35%,26%,45%,70%,45%
Sudan,21%,32%,27%,29%,42%
Sweden,71%,75%,66%,69%,72%
Switzerland,57%,63%,65%,64%,57%
"Taiwan, China",37%,56%,31%,48%,46%
Tajikistan,17%,12%,35%,49%,43%
Tanzania,40%,61%,42%,51%,45%
Thailand,27%,19%,65%,38%,42%
Togo,38%,48%,43%,41%,64%
Tunisia,45%,37%,69%,62%,46%
Turkey,24%,23%,47%,49%,45%
Turkmenistan,41%,19%,56%,79%,51%
Uganda,34%,58%,36%,44%,49%
Ukraine,40%,33%,60%,66%,40%
United Arab Emirates,38%,50%,46%,47%,45%
United Kingdom,67%,69%,66%,71%,68%
United States,57%,69%,63%,52%,61%
Uruguay,45%,34%,71%,56%,49%
Uzbekistan,21%,18%,47%,42%,45%
"Venezuela, RB",25%,34%,47%,43%,42%
Vietnam,24%,25%,55%,31%,46%
West Bank and Gaza,25%,35%,59%,37%,31%
"Yemen, Rep.",13%,28%,44%,16%,28%
Zambia,40%,54%,51%,45%,56%
Zimbabwe,41%,57%,51%,56%,25%
