Country,indicator,value,category
Albania,men,62.76,Gender
Brazil,men,56.56,Gender
Cambodia ,men,42.32,Gender
Chile,men,64.57,Gender
Costa Rica,men,60.24,Gender
Croatia ,men,71.7,Gender
Cyprus ,men,74.07,Gender
Estonia,men,84.95,Gender
Finland ,men,75.3,Gender
France ,men,70.13,Gender
Germany,men,89.23,Gender
Greece,men,72.68,Gender
Hong Kong (China),men,93.75,Gender
Hungary ,men,76.06,Gender
Indonesia ,men,38.76,Gender
Ireland ,men,75.83,Gender
Italy ,men,55.29,Gender
Jordan,men,58.4,Gender
Korea,men,77.01,Gender
Latvia ,men,58.52,Gender
Lithuania,men,55.33,Gender
Luxembourg ,men,80.12,Gender
Malaysia ,men,65.49,Gender
Malta ,men,60.98,Gender
Mexico ,men,61.56,Gender
Netherlands,men,69.67,Gender
Panama,men,54.87,Gender
Paraguay ,men,56.69,Gender
Peru,men,58.98,Gender
Philippines,men,49.17,Gender
Poland ,men,73.31,Gender
Portugal ,men,64.94,Gender
Romania ,men,49.36,Gender
Saudi Arabia ,men,68.18,Gender
Spain,men,71.06,Gender
Sweden ,men,78.6,Gender
Uruguay ,men,66.71,Gender
Yemen,men,65.17,Gender
Overall Average,men,66.15,Gender
OECD Average,men,70.72,Gender
Albania,women,52.58,Gender
Brazil,women,49.87,Gender
Cambodia ,women,40.79,Gender
Chile,women,59.32,Gender
Costa Rica,women,58.07,Gender
Croatia ,women,68.56,Gender
Cyprus ,women,71.44,Gender
Estonia,women,73.56,Gender
Finland ,women,63.43,Gender
France ,women,61.95,Gender
Germany,women,81.19,Gender
Greece,women,57.38,Gender
Hong Kong (China),women,88.91,Gender
Hungary ,women,72.26,Gender
Indonesia ,women,37.51,Gender
Ireland ,women,67.78,Gender
Italy ,women,50.35,Gender
Jordan,women,48.12,Gender
Korea,women,74.05,Gender
Latvia ,women,57.27,Gender
Lithuania,women,52.91,Gender
Luxembourg ,women,62.43,Gender
Malaysia ,women,60.63,Gender
Malta ,women,56.47,Gender
Mexico ,women,55.71,Gender
Netherlands,women,61.23,Gender
Panama,women,53.82,Gender
Paraguay ,women,54.65,Gender
Peru,women,55.03,Gender
Philippines,women,47.01,Gender
Poland ,women,72.26,Gender
Portugal ,women,56.85,Gender
Romania ,women,49.23,Gender
Saudi Arabia ,women,43.65,Gender
Spain,women,60.71,Gender
Sweden ,women,66.1,Gender
Uruguay ,women,58.52,Gender
Yemen,women,59.28,Gender
Overall Average,women,59.73,Gender
OECD Average,women,63.24,Gender
Albania,gender gap,10.18,Gender
Brazil,gender gap,6.69,Gender
