Country or Economy,Time value of money,Interest on a loan,Simple interest calculation,Compound interest calculation,Simple and compound interest,Risk and return,Definition of inflation,Risk diversification
Albania,71.10076547,87.35602498,51.01294518,19.55535859,11.40025929,64.14139867,67.58676767,50.59005618
Brazil,54.40000296,83.85000229,14.35000002,46.59999907,6.100000069,72.50000238,84.75000262,55.19999862
Cambodia ,23.05101752,74.60760474,18.17883998,48.44889343,10.78294292,65.60493112,57.22205043,41.18614197
Chile,62.046206,94.96699572,26.07260644,39.8514837,10.31353101,88.11880946,94.05940771,56.18811846
Costa Rica,53.41880322,92.05127954,14.10256475,53.67521644,13.50427419,87.60683537,91.2820518,62.13675141
Croatia ,77.22705603,85.91122031,58.78326297,32.18390644,24.71219301,75.81466436,94.55657601,73.57459068
Cyprus ,84.18626189,92.33911633,76.82213783,32.80655444,27.72008777,88.7388885,87.99152374,51.18758678
Estonia,89.47855234,89.6936357,75.54697394,50.97109079,46.76567614,83.6522758,93.25493574,71.03918791
Finland ,65.9458518,78.53039503,57.20244646,49.40720201,39.26541805,82.57684708,85.02640724,74.66076612
France ,65.27783275,77.58684754,51.879251,39.67637718,30.52921593,80.81430793,84.51814055,70.3012526
Germany,90.31205773,93.47565174,81.44342303,73.34899306,66.41757488,84.03922319,96.71272039,84.05210376
Greece,62.1619761,84.27229524,59.11622643,43.75115633,35.66427231,74.14295673,90.47937989,48.47944975
Hong Kong (China),92.34405756,99.60359335,94.32474971,79.17643189,77.99033523,92.06821322,98.31728935,82.94374347
Hungary ,86.60243154,94.53679919,66.01500511,32.89882243,23.19248319,89.76166248,92.63455272,65.89677334
Indonesia ,46.29999995,46.20000124,25.09999871,8.69999975,7.999999821,70.70000172,70.70000172, - 
Ireland ,68.87795925,90.54911137,63.18461895,44.64083016,31.68427646,88.80363107,97.8087306,62.36268282
Italy ,58.0840826,76.43179297,53.10927033,28.33032608,17.18734056,59.65856314,67.86733866,37.07406819
Jordan,73.78393412,53.42194438,43.75,33.54072273,23.4445706,54.89253402,78.67646813,64.45135474
Korea,78.2730937,93.7669754,75.92634559,50.6262362,41.41582549,88.2214427,80.79978824,70.41387558
Latvia ,60.65062881,75.87066293,57.28412271,25.87470412,18.21999848,68.62421036,86.58357263,37.73486018
Lithuania,65.07490873,73.12734127,55.71160913,30.14981151,20.22471875,54.77527976,63.48314881,46.25468254
Luxembourg ,77.63233781,85.76537967,70.25318146,50.66814423,45.40095031,73.67646694,87.4956429,59.93224382
Malaysia ,44.62599754,74.07407165,65.10530114,42.91939139,35.54829359,87.29121089,82.57080317,52.28758454
Malta ,24.57711399,89.05472755,83.28357935,41.89054668,38.40796053, - , - , - 
Mexico ,72.10786343,86.97289228,16.32913798,35.44996381,5.938183516,79.45877314,86.94120646,61.99541092
Netherlands,62.3369813,86.14726067,68.93768311,53.03218365,46.2072134,65.97428322,79.17535305,48.75122905
Panama,42.35264063,90.51620364,8.553726971,38.28520775,2.2664655,82.05165863,88.9598608,65.68148136
Paraguay ,57.3333323,91.16666913,10.49999967,38.74999881,4.250000045,80.83333373,83.58333111,61.33333445
Peru,55.13376594,93.09304357,21.35389149,40.08635581,7.516967505,82.18970299,83.6032927,56.1622858
Philippines,58.44923854,60.28235555,22.63614088,34.16092992,7.594230771,69.88591552,77.34533548,40.50154686
Poland ,77.89999843,88.09999824,68.80000234,41.10000134,33.19999874,86.50000095,88.70000243,66.20000005
Portugal ,56.14392161,92.46435761,39.98642266,47.72573113,24.71147329,73.86286259,90.90291858,46.5716213
Romania ,43.38308573,76.41791105,49.35323298,23.28358144,16.91542268,58.30845833,65.77114463,34.92537439
Saudi Arabia ,49.65855777,48.33367467,55.50726056,52.68734694,41.74638093,64.59600329,72.47889638,69.1714108
Spain,65.19922614,97.57815003,49.64116216,41.27007127,21.84310108,84.84534621,89.54460025,52.03179121
Sweden ,72.09533453,85.9980166,63.15789223,58.3912611,48.75868857,79.64250445,83.81330967,70.10923624
Thailand,70.83535194,82.68021345,77.55200863,37.65521646,35.27656794,79.148525,73.96387458,68.11804771
Uruguay ,60.58374047,90.58313966,21.75006717,58.41718316,19.24999356,89.7490859,91.83290005,60.91611981
Yemen,55.64468503,83.90408158,11.34233251,26.19699836,2.401651815,56.11799955,82.8369379,57.03299642
Overall Average,63.45104239,83.10978046,49.30665184,41.69703153,26.19919328,76.56286343,83.52184907,58.84999351
OECD Average,69.48100239,86.89429194,55.68499729,44.54198033,31.02221072,78.73781413,86.55416042,59.60930526
