Country,ISO3,Financial Knowledge Score,Financial Behaviour Score,Financial Attitudes Score,Financial Literacy Score
Albania,ALB,20.15941048,22.99488449,13.24569321,56.39998627
Brazil,BRA,18.55750084,30.48999977,10.59125042,59.63874817
Cambodia ,KHM,14.53167629,23.78722954,10.28966618,48.6085701
Chile,CHL,21.58828354,24.4884491,10.03094101,56.10767365
Costa Rica,CRI,20.70512772,25.9017086,9.867521286,56.4743576
Croatia ,HRV,24.52897835,26.62611771,10.87795258,62.03304672
Cyprus ,CYP,25.44927979,20.38539505,9.950299263,55.78497314
Estonia,EST,27.47156143,27.46578407,12.26893044,67.20627594
Finland ,FIN,24.16040611,27.94048119,12.42118549,64.50855255
France ,FRA,23.04534149,27.24038887,11.75813484,62.0438652
Germany,DEU,29.82263756,33.1577034,12.98978043,75.97012329
Greece,GRC,22.71582794,27.95335007,10.70754719,61.37672424
Hong Kong (China),HKG,31.87959862,27.49354362,10.71178532,70.08493042
Hungary ,HUN,25.93198586,20.33730888,11.37633133,57.64562607
Indonesia ,IDN,13.35000038,31.90999985,11.36250019,56.62250137
Ireland ,IRL,25.16354942,32.89670944,11.64068222,69.70094299
Italy ,ITA,18.47062302,23.3838253,11.48289967,53.33734894
Jordan,JOR,19.62104034,28.87019157,9.63093853,58.12217331
Korea,KOR,26.44086838,29.58526993,11.14573956,67.171875
Latvia ,LVA,20.24840355,27.41959381,10.97687912,58.64487457
Lithuania,LTU,18.93258476,28.30524254,8.902153969,56.13998032
Luxembourg ,LUX,25.00781059,30.08786964,12.68886185,67.78453827
Malaysia ,MYS,22.07516289,28.82534409,9.774790764,60.68833923
Malta ,MLT,20.59079552,34.59275055,12.54228878,67.72583771
Mexico ,MEX,20.48717308,28.23223495,11.09926891,59.81867599
Netherlands,NLD,22.87649918,29.16352272,12.33031559,64.37033844
Panama,PAN,19.0191021,25.48888969,10.0200386,54.73308563
Paraguay ,PRY,19.45000076,20.40416718,9.767292976,49.79718018
Peru,PER,19.95264816,23.9650383,12.23740005,56.15508652
Philippines,PHL,16.83473778,30.10263634,11.51007462,58.44744873
Poland ,POL,25.46999931,26.75499916,10.23750019,62.46250153
Portugal ,PRT,21.23217964,29.50101852,12.68160248,63.41479874
Romania ,ROU,17.25373077,25.19900513,11.58457756,54.03731155
Saudi Arabia ,SAU,20.07460976,33.61498642,7.317604065,61.05515671
Spain,ESP,23.03416824,26.83314133,13.98465443,63.85196304
Sweden ,SWE,25.17874908,27.57696152,13.33167839,66.08738708
Thailand,THA,24.37872887,31.66747284,15.33381748,71.38002014
Uruguay ,URY,21.73325157,26.01671982,9.783057213,57.82724762
Yemen,YEM,17.46403503,18.59649658,6.275024891,42.33555603
