Country or Economy,Keeps track of money in the short term,Actively saves,Did not borrow to make ends meet,Compared financial products across providers,Sought advice from non-independent source(s),Sought advice from independent source(s),Closely watches personal financial affairs,Sets long-term financial goals,Makes considered purchases,Pays bills on time
Albania,64.45422173,81.20056987,64.90898132,23.98234606,0.209482596,0,56.19237423,9.23550576,82.11321831,77.66162157
Brazil,79.54999804,67.40000248,91.44999981,28.24999988,9.449999779,32.15000033,74.59999919,57.30000138,81.40000105,81.80000186
Cambodia ,35.36159694,71.86565399,73.52846861,22.61178643,13.6523813,20.79260796,50.65125227,47.57317007,67.30479598,68.20639372
Chile,55.03300428,36.96369529,37.37623692,30.85808456,27.72277296,21.69966996,73.18481803,52.14521289,80.19801974,81.76567554
Costa Rica,59.05982852,42.56410301,50.7692337,24.18803424,28.2051295,18.03418845,71.62393332,57.69230723,84.27350521,85.04273295
Croatia ,62.05583811,51.65631771,81.22199774,23.82678241,31.3590765,17.49706715,67.75896549,47.17565775,70.23088336,86.06947064
Cyprus ,68.36799383,84.45584178,72.91153669,30.39390445,10.43988839,28.63786817,22.14353085,31.61612153,20.11920959,24.77271408
Estonia,63.08250427,72.75551558,85.07760763,30.43461144,10.74318886,30.9443295,61.99380159,30.23262024,66.27536416,96.26566768
Finland ,67.74748564,75.48651099,72.84107804,25.78411102,13.3119747,24.85137731,72.84250259,48.05600047,70.3193903,82.60022998
France ,79.01880145,65.30928612,78.75839472,15.13792574,15.46512544,16.66498929,76.38622522,45.36705315,65.4484868,82.19407797
Germany,79.06365991,88.29555511,91.72220826,35.58360934,10.09809449,36.68764532,86.04443073,59.58027244,76.94562078,96.07599974
Greece,83.74138474,41.70305431,63.43519092,20.85984349,17.76062399,20.58199495,89.20813799,42.97966957,91.14407897,86.70429587
Hong Kong (China),72.79450297,92.09697247,94.87144947,10.25885716,6.910024583,7.641470432,71.05873823,50.19684434,60.38651466,86.23808622
Hungary ,24.72489178,47.39346206,89.61890936,7.838756591,8.557988703,6.311600655,54.8666656,36.76280677,57.91136622,74.11701083
Indonesia ,18.19999963,91.90000296,88.40000033,54.19999957,47.69999981,52.30000019,72.6000011,71.39999866,75.3000021,68.09999943
Ireland ,90.37740231,83.06151628,90.05852342,42.87069142,29.04169559,34.32584107,78.46875191,49.14173484,71.739012,94.79150772
Italy ,75.85732341,78.31560969,91.94924831,8.522071689,10.30980274,11.31376177,50.10442734,30.93430996,44.79804933,62.13974953
Jordan,84.38913822,53.61990929,33.48416388,46.97398245,26.18778348,41.23303294,68.26922894,61.56674027,87.13235259,74.17986393
Korea,80.62429428,97.8065908,89.21335936,26.38926804,25.76513886,37.78753281,55.6566298,48.02975655,50.3010571,68.61466169
Latvia ,55.36943674,59.00253654,88.43664527,26.87591314,31.91654384,17.6827088,79.08862233,43.62926781,72.72136211,80.91209531
Lithuania,70.78651786,89.9812758,87.35954762,36.23595536,19.38202232,39.51310813,52.24719048,39.32584226,53.27715278,73.31460714
Luxembourg ,57.04959035,86.04640961,88.89379501,30.13534546,27.87954509,30.55650592,77.89167762,55.09263873,64.86800909,80.40536642
Malaysia ,74.61873889,85.18518806,92.41104126,33.11546743,40.55918753,16.52142406,61.90994978,55.66448569,66.08569622,62.59985566
Malta ,61.69154048,83.08457732,65.97014666,9.651741385, - , - ,82.98507333,65.87064862,77.51243711,91.34328365
Mexico ,81.14781976,69.51537132,71.50444984,18.96243095,10.33117473,25.17207861,58.56076479,57.05136061,78.50906253,86.27915978
Netherlands,66.01976752,85.81722379,92.43680835,19.80386376,10.1461947,18.94724071,80.64893484,50.32326579,67.57388115,88.57731819
Panama,68.89644265,31.58940673,65.5482769,18.24235171,26.78137124,13.0022049,68.796134,62.31971979,78.41128707,80.36657572
Paraguay ,46.66666687,16.75000042,56.08333349,6.333333254,7.75000006,4.916666821,61.91666722,48.75000119,82.58333206,76.58333182
Peru,53.73928547,41.5222615,42.84176826,26.96689963,21.30124271,22.02340811,60.24903655,57.77187347,75.16502142,77.90157199
Philippines,86.43472195,89.97170329,51.58219934,45.00397444,15.54218084,52.18789577,59.00459886,51.76762342,73.63387346,66.84855223
Poland ,57.99999833,84.89999771,87.99999952,28.40000093,18.19999963,31.29999936,60.1000011,39.70000148,52.3999989,70.20000219
Portugal ,53.5641551,54.78615165,97.3523438,40.73319733,77.39307284,15.41072577,78.47929597,37.47454286,71.89409137,87.37270832
Romania ,47.76119292,61.09452844,70.54726481,39.60199058,38.00995052,27.46268511,47.3631829,40.99502563,65.07462859,75.52238703
Saudi Arabia ,75.8169353,96.88569307,91.51295424,31.43696487,4.1472096,55.78935146,84.85796452,69.81222034,68.90646815,67.40659475
Spain,21.68444991,69.89406347,86.18283272,18.5490638,29.49451506,11.39215827,79.38672304,47.28050828,86.01789474,93.21554303
Sweden ,83.2174778,88.5799408,78.15293074,22.04568088,9.831181914,20.75471729,67.52730608,39.52333629,50.94339848,88.67924809
Thailand,50.01612902,87.53426671,64.1186893,37.98580766,51.48363113,23.78648669,84.09127593,71.77874446,88.97758722,85.81680655
Uruguay ,67.1661377,31.49882555,55.91715574,24.75151122,26.33412182,15.91685563,78.3326745,57.50047565,87.49997616,78.83492112
Yemen,41.92487001,25.1590699,52.31201053,3.3624731,2.908285893,4.112736136,67.21746922,82.77169466,67.79271364,23.29301983
Overall Average,63.20707038,68.2730426,75.0964303,26.33740084,21.37583168,23.83957726,67.80279378,50.03561695,70.08176412,77.25160794
OECD Average,65.2584897,70.9088935,80.95696718,25.51042296,21.5777893,23.4966087,70.21554202,45.51612541,67.87794009,82.9633829
