Country,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
Australia,12.54982,11.99096,11.57725,12.20054,12.80363,13.86374,13.51674,13.89828,13.2407,12.81618,12.66871,12.4262,12.22059,12.23508,11.82631,11.54911,11.57123,11.21007,11.52673,11.15869,10.79212,10.60072,10.48624,10.58685,10.51085,10.17096,9.813636,9.540049,9.463818,8.986316,9.292392,9.70518,8.553048,9.016336,8.42132,9.286251,10.96816,12.01973,11.65532,11.31159,11.48402,11.68014,11.51967,11.53992,11.56107,11.21978,11.21654,11.44613,11.63089,11.54498,11.7961,11.95286,12.11692,11.72595,12.47284,12.58715,12.53684,13.23575,13.56441,13.91053,13.71092,13.26447,13.15887,12.31996,12.08409,12.52406,12.92616,13.28494,12.82588,12.79849,12.72596,12.42276,12.59501,11.8132,11.45961,11.55886,11.55566,12.02279,11.93422,12.00433,12.15138,15.48244,15.0234,15.01826,12.96296,10.684,10.63865,11.13655,8.821987,8.457725,7.811673,7.590415,7.978497,8.118476,8.27167,9.531002,9.454679,9.686194,9.577335,8.965275,9.013769,9.59973,10.04039
Austria,5.729709,4.586667,4.666038,5.554999,5.677368,5.515019,5.619005,6.022751,6.583151,5.851885,6.087757,6.139614,6.857404,6.571051,7.027624,7.722159,11.22534,9.690361,10.05123,10.95531,9.280084,12.1394,11.57727,10.97371,10.46767,9.843657,9.836311,9.040433,8.751102,10.15749,10.18737,8.554788,8.132896,7.550697,8.256746,10.08116,10.41397,11.66464,12.12804,11.40285,11.05076,10.22147,10.35486,8.889398,10.14267,9.250379,8.264384,10.5622,10.19721,10.02478,10.33896,9.401009,10.28287,9.967951,9.841127,11.07328,11.84879,10.20529,10.54365,10.86734,10.08269,11.15955,11.11216,12.54651,12.40141,11.73933,12.36588,11.25529,11.05224,9.951528,10.65613,10.35895,10.50105,10.16525,9.764749,9.424832,8.288955,9.051642,10.0936,9.322477,10.36623,13.47259,11.57762,11.355,12.68055,11.41195,9.940097,9.834223,8.612466,9.318846,10.05358,9.881955,9.978759,10.2806,10.66429,10.76076,10.21896,9.497949,10.34887,10.95281,11.70854,11.51747,
Belgium,16.86682,17.23258,19.18137,16.65388,15.41027,17.08547,16.23618,19.32784,18.17108,17.27485,17.20407,18.46518,21.52294,20.40392,22.09846,22.5944,20.66497,19.68017,22.59689,21.78725,21.35604,21.79648,20.83505,22.22132,20.95661,20.4516,20.54364,20.15881,19.05215,20.76626,18.11167,17.31775,17.01726,15.94825,21.12419,17.99101,20.66411,21.66364,22.41405,23.46842,24.24321,22.5695,21.18374,21.63375,18.9424,18.02974,21.61056,16.97804,18.94924,17.82395,20.64112,22.49947,22.93295,24.10003,23.63638,24.78035,26.15458,24.63334,20.76626,22.25722,20.64059,21.75999,21.86508,25.73029,20.22929,19.96976,21.33096,19.81659,21.66732,20.86804,18.45996,16.63942,17.5,18.55313,15.601,12.6038,16.16324,13.90774,12.28065,15.47902,12.88941,16.95956,17.07187,17.17813,19.82697,19.12954,18.18775,15.85383,15.33707,17.30767,16.86167,16.02174,15.29007,14.9505,16.85483,17.27168,17.00682,17.29423,17.86535,17.47775,17.45686,15.6298,
Canada,12.93333,12.53333,12.66667,12.56667,12.6,12.6,12.76667,13.66667,14.03333,13.73333,13.5,13.7,13.13333,13.56667,14.1,13.76667,13.93333,13.4,13.2,13,12.66667,12.76667,12.4,11.7,11.76667,11.13333,11.93333,11.33333,11.16667,10.9,10.73333,11.26667,11.23333,11.5,10.83333,12.3,14.06667,15.06667,15.33333,15.53333,15.1,14.53333,14.46667,14,14.03333,14.16667,13.63333,13.8,14.06667,13.83333,14.13333,13.76667,13.23333,13.3,13.46667,13.76667,13.5,13.43333,13.33333,13.1,12.76667,12.86667,12.8,12.6,12.86667,12.8,12.53333,12.03333,12.13333,11.3,10.53333,10.5,10.63333,10.93333,10.33333,10.33333,10.46667,10.1,11.46667,11.16667,12.8,28.5,21.4,17.83333,16.93333,15.36667,11.6,10.16667,10.7,9.7,9.5,10.26667,9.766666,10.56667,10.63333,11.5,11.86667,13.06667,13.9,13.66667,13.4,14.16667,14.6
Chile,,,,,,,,,,,,,,,,,,,,,19.0838,20.08172,21.12918,18.53222,19.02282,19.61977,18.38851,16.11268,16.75665,16.60687,18.19127,19.65622,19.26288,19.87196,19.75774,19.86946,21.37743,23.84351,23.40632,21.52776,20.41623,18.2469,17.61399,18.00668,16.97229,17.14734,18.05829,18.10945,16.65102,16.064,15.95553,16.9936,16.81859,15.75312,14.55234,17.00624,17.26641,15.52315,16.38452,16.42851,15.03376,15.89701,15.03474,15.13997,14.98987,16.0764,16.05293,14.69055,17.33843,17.5209,17.38112,17.20294,17.07408,18.15335,17.75667,17.88332,16.77551,18.19348,18.75142,20.49206,19.58624,27.06951,27.10641,24.60258,23.69009,22.20142,17.24065,16.9509,16.88527,16.81592,18.74156,18.48997,21.06435,20.0941,22.01593,22.50013,21.3927,19.91264,21.32021,20.10306,21.66386,21.35137,19.83792
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5357,22.66195,21.88354,22.03042,22.41949,22.33681,23.81677,24.22453,23.68035,23.33911,24.09486,24.9691,23.58189,24.77925,23.01884,23.76025,23.42222,23.07225,21.61312,20.73759,20.65759,20.8528,20.81558,21.00104,20.09532,19.50282,19.73055,18.1516,19.26766,18.47907,18.35149,19.10401,17.49192,17.59035,18.24878,17.57313,18.87879,18.58216,17.88196,18.56573,18.17371,17.67127,19.31772,18.76583,20.58092,17.90755,18.97886,20.95138,20.39209,19.76914,22.03219,20.05769,21.9539,31.69287,28.94461,26.35751,26.85859,26.70554,24.40221,24.50431,23.32544,21.06058,21.97806,21.16754,20.40647,19.8716,19.13918,21.31224,20.88328,20.36987,19.82625,19.81152,18.53164,18.21943,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8708,22.03339,22.50674,21.41692,23.94069,21.44338,23.90018,22.92735,21.97637,23.91569,23.68866,22.45823,21.82678,21.96949,25.56997,23.55156,26.63975,24.39548,23.44519,22.73863,21.97178,24.31741,22.35114,22.90481,22.41478,24.76906,20.36949,21.19524,24.11662,23.92437,26.25638,24.08388,25.99708,30.61555,29.34527,31.51553,31.3217,34.04913,32.17687,46.0717,45.81304,43.35623,44.80584,39.53142,37.72231,35.34764,33.96678,31.02539,30.78295,28.77336,28.0279,26.49366,22.27644,22.58808,21.03195,22.54588,22.09481,19.73357,23.27037,23.83743,
Czechia,18.46737,18.54037,17.44796,17.82068,17.9892,17.60221,17.41171,17.25121,17.06722,16.64167,17.1857,16.62923,17.77251,18.05655,18.71411,19.74143,20.49028,21.15575,20.83251,21.51592,20.55609,19.25786,18.40912,18.62584,19.79775,18.1466,17.03765,14.90577,12.21281,11.01401,9.974204,9.715378,10.02909,9.161141,9.894626,10.40453,13.46442,15.4152,17.83846,19.84584,19.90396,18.48132,17.87003,17.08545,17.6849,18.53511,17.99385,18.07619,19.71697,19.64083,18.95866,19.7401,19.43089,18.21721,19.06989,19.16549,16.91578,16.04301,15.7274,14.72917,14.34569,12.5694,12.19134,11.23327,10.18698,10.60421,10.65562,10.5903,9.099642,8.782941,7.714581,6.140979,7.044446,7.389282,6.514232,5.96234,6.000075,6.068182,5.063445,5.40624,6.021492,7.537064,8.53929,9.764212,10.32297,7.481193,7.322523,7.555035,7.013,6.308147,6.390226,7.899743,8.415796,9.720992,7.93132,6.953426,7.347454,8.816331,10.60848,9.773798,9.909788,10.65947,
Denmark,7.596939,6.941658,6.614981,5.73958,7.324464,8.454086,8.815305,9.230458,7.19706,7.013166,6.885571,8.423243,9.687976,9.465245,9.707037,7.9867,9.345823,7.569468,8.450708,7.401684,8.539524,8.229803,8.89993,8.773963,8.797256,8.164989,6.469352,7.382001,7.355603,7.270148,8.341785,7.122425,9.011975,9.247403,10.25629,9.528168,12.05372,13.96833,13.23142,14.66436,15.39913,15.04669,15.93746,16.01448,15.95161,16.36593,16.8827,16.1848,16.88825,16.82142,14.51366,14.99026,14.88695,14.25072,15.21229,14.88064,15.22638,14.62604,13.6018,13.52501,11.78149,11.72983,12.97562,12.22086,11.9838,12.39778,12.12314,12.20438,12.8775,12.85938,12.84626,11.0005,11.11093,10.60998,10.51858,9.964987,10.80813,9.570704,9.747634,10.10692,9.95471,12.29063,12.09804,12.13755,13.41384,10.46199,10.02433,9.502662,9.914212,9.525082,11.41196,11.39787,10.45825,11.05618,11.16916,13.26383,13.99296,14.62365,14.41516,15.33164,14.46979,14.67967,
Estonia,25.29984,19.9977,23.06792,26.7753,22.07467,23.10583,23.22459,20.47274,15.54575,19.40913,17.87557,20.68812,18.37963,26.31698,21.70592,18.19839,28.46765,24.64111,24.59767,17.18981,12.77249,18.90002,16.92095,11.98659,12.95534,12.92881,12.10282,10.46564,11.72143,11.13568,10.55351,6.955119,7.8128,8.545832,15.12521,16.21957,25.27431,24.18681,30.64214,29.47717,39.39297,38.08472,29.10571,21.95863,23.13706,21.15583,23.19405,22.38065,21.90264,23.3304,21.37081,17.65412,21.04688,16.7314,15.50469,21.75916,18.52588,15.86124,12.6024,12.45989,14.86207,13.69411,14.52956,16.41599,14.14595,13.44609,13.52949,14.27615,16.88593,13.58576,8.832897,7.21632,13.04317,7.531101,15.74611,12.65836,8.616139,17.22211,14.30062,9.52101,12.51569,17.32064,20.70843,23.05406,16.00422,19.11237,14.23308,17.28298,19.19239,20.51423,17.58427,16.54218,12.30145,16.00496,20.47923,19.88183,15.20588,23.73877,20.48725,16.52868,19.71043,24.20706,
